ID,タイトル,コントロールステータス,重大度,不合格のチェック,不明なチェック,利用不可のチェック,合格したチェック,カスタムパラメータ
IAM.6,Hardware MFA should be enabled for the root user,失敗,重要,1,0,0,0,UNSUPPORTED
ECS.5,ECS containers should be limited to read-only access to root filesystems,失敗,高,4,0,0,0,UNSUPPORTED
RDS.13,RDS automatic minor version upgrades should be enabled,失敗,高,4,0,0,0,UNSUPPORTED
EC2.2,VPC default security groups should not allow inbound or outbound traffic,失敗,高,2,0,0,0,UNSUPPORTED
EC2.9,EC2 instances should not have a public IPv4 address,失敗,高,2,0,0,0,UNSUPPORTED
CloudTrail.1,CloudTrail should be enabled and configured with at least one multi-Region trail that includes read and write management events,失敗,高,1,0,0,0,UNSUPPORTED
EC2.25,EC2 launch templates should not assign public IPs to network interfaces,失敗,高,1,0,0,0,UNSUPPORTED
GuardDuty.1,GuardDuty should be enabled,失敗,高,1,0,0,0,UNSUPPORTED
Inspector.3,Amazon Inspector Lambda code scanning should be enabled,失敗,高,1,0,0,0,UNSUPPORTED
S3.9,S3 general purpose buckets should have server access logging enabled,失敗,中,7,0,0,1,UNSUPPORTED
SecretsManager.1,Secrets Manager secrets should have automatic rotation enabled,失敗,中,7,0,0,0,SUPPORTED
StepFunctions.1,Step Functions state machines should have logging turned on,失敗,中,6,0,0,0,SUPPORTED
S3.5,S3 general purpose buckets should require requests to use SSL,失敗,中,5,0,0,3,UNSUPPORTED
ECR.2,ECR private repositories should have tag immutability configured,失敗,中,4,0,0,0,UNSUPPORTED
ECR.3,ECR repositories should have at least one lifecycle policy configured,失敗,中,4,0,0,0,UNSUPPORTED
RDS.10,IAM authentication should be configured for RDS instances,失敗,中,4,0,0,0,UNSUPPORTED
RDS.11,RDS instances should have automatic backups enabled,失敗,中,4,0,0,0,SUPPORTED
EC2.15,EC2 subnets should not automatically assign public IP addresses,失敗,中,3,0,0,8,UNSUPPORTED
SecretsManager.4,Secrets Manager secrets should be rotated within a specified number of days,失敗,中,3,0,0,4,SUPPORTED
EC2.10,Amazon EC2 should be configured to use VPC endpoints that are created for the Amazon EC2 service,失敗,中,2,0,0,0,UNSUPPORTED
EC2.3,Attached EBS volumes should be encrypted at-rest,失敗,中,2,0,0,1,UNSUPPORTED
EC2.57,VPCs should be configured with an interface endpoint for Systems Manager,失敗,中,2,0,0,0,SUPPORTED
EC2.58,VPCs should be configured with an interface endpoint for Systems Manager Incident Manager Contacts,失敗,中,2,0,0,0,SUPPORTED
EC2.60,VPCs should be configured with an interface endpoint for Systems Manager Incident Manager,失敗,中,2,0,0,0,SUPPORTED
RDS.12,IAM authentication should be configured for RDS clusters,失敗,中,2,0,0,0,UNSUPPORTED
RDS.14,Amazon Aurora clusters should have backtracking enabled,失敗,中,2,0,0,0,SUPPORTED
RDS.24,RDS Database Clusters should use a custom administrator username,失敗,中,2,0,0,0,UNSUPPORTED
RDS.45,Aurora MySQL DB clusters should have audit logging enabled,失敗,中,2,0,0,0,UNSUPPORTED
Account.1,Security contact information should be provided for an AWS account.,失敗,中,1,0,0,0,UNSUPPORTED
